name,task_num,question_name,value,task_name
A1I72NHC21347A,8,Q10maximizing_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q10maximizing_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q10maximizing_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q10maximizing_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q10maximizing_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q10maximizing_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q10maximizing_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q10maximizing_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q10maximizing_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q10maximizing_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q10maximizing_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q10maximizing_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q10maximizing_feedbk,no trouble,Room assignment task
A1BHR5XQ16T7LA,15,Q10maximizing_feedbk,"It isn't a task in which you are to do it as fast as possible, but there is a set time limit that must be met or it's a failure.",Graph coloring task
A2VRDE2FHCBMF8,22,Q10maximizing_feedbk,I had no troubles,Room assignment task
A2871R3LEPWMMK,22,Q10maximizing_feedbk,"Due to this task having a time limit, it does carry some aspects of doing as much room assignments as possible within the time contraint.",Room assignment task
A341XKSRZ58FJK,15,Q10maximizing_feedbk,"It says above ""within a specified amount of time,"" so I'm inclined to say no.",Graph coloring task
A341XKSRZ58FJK,22,Q10maximizing_feedbk,"The main task says fixed amount of time, but nothing else regarding how fast to finish.",Room assignment task
A212OY08MFDGU3,15,Q10maximizing_feedbk,There is a time limit on the task and goal to be achieved.,Graph coloring task
A1I72NHC21347A,8,Q11optimizing_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q11optimizing_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q11optimizing_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q11optimizing_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q11optimizing_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q11optimizing_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q11optimizing_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q11optimizing_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q11optimizing_feedbk,I did not,Word completion given starting letter
